tipo_evento,departamento,codigo_dane_departamento,municipio,codigo_dane_municipio,a_o,mes,evento,tipo_lugar,tipo_area,latitud_cabecera,longitud_cabecera,sitio,geocoded_column
Accidente por MAP,GUAVIARE,95,MIRAFLORES,95200,2016,12,Accidente,Campo,Rural,1.336939,-71.951518,VEREDA PUERTO COLOMBIA,"{'type': 'Point', 'coordinates': [-71.951518, 1.336939]}"
Sospecha de campo minado,ANTIOQUIA,5,SAN CARLOS,5649,2016,6,Incidente,Fincas,Rural,6.13974,-74.97267,SCM_BIDES_2016_4705,"{'type': 'Point', 'coordinates': [-74.97267, 6.13974]}"
Desminado militar en operaciones,META,50,PUERTO LLERAS,50577,2017,2,Incidente,Sin informacion,Rural,3.01583333333,-73.2872222222,LA ARGENTINA,"{'type': 'Point', 'coordinates': [-73.2872222222, 3.01583333333]}"
Desminado militar en operaciones,PUTUMAYO,86,PUERTO CAICEDO,86569,2017,2,Incidente,Sin informacion,Rural,0.751666666667,-76.5516666667,GUASIMALES,"{'type': 'Point', 'coordinates': [-76.5516666667, 0.751666666667]}"
Desminado militar en operaciones,CHOCO,27,ISTMINA,27361,2017,3,Incidente,Sin informacion,Rural,5.18972222222222,-76.6241666666667,PROFUNDO,"{'type': 'Point', 'coordinates': [-76.6241666666667, 5.18972222222222]}"
Desminado militar en operaciones,ARAUCA,81,ARAUQUITA,81065,2010,4,Incidente,Sin informacion,Rural,6.773611,-71.415278,Embajada,"{'type': 'Point', 'coordinates': [-71.415278, 6.773611]}"
Desminado militar en operaciones,CHOCO,27,RIO IRÓ,27580,2013,11,Incidente,Sin informacion,Rural,5.2338888889,-76.4025,Sector Jamaica,"{'type': 'Point', 'coordinates': [-76.4025, 5.2338888889]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2017,5,Incidente,Sin informacion,Rural,1.38138888888889,-78.7222222222222,EL ENCANTO,"{'type': 'Point', 'coordinates': [-78.7222222222222, 1.38138888888889]}"
Desminado militar en operaciones,ARAUCA,81,PUERTO RONDÓN,81591,2017,6,Incidente,Sin informacion,Rural,6.38694444444444,-71.1219444444444,MATE PALMA,"{'type': 'Point', 'coordinates': [-71.1219444444444, 6.38694444444444]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,SAN CALIXTO,54670,2017,6,Incidente,Sin informacion,Rural,8.39972222222222,-73.205,BALSAMINA,"{'type': 'Point', 'coordinates': [-73.205, 8.39972222222222]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,TIBÚ,54810,2017,6,Incidente,Sin informacion,Rural,8.62888888888889,-72.7386111111111,LA HAMACA,"{'type': 'Point', 'coordinates': [-72.7386111111111, 8.62888888888889]}"
Accidente por MAP,CAQUETA,18,MONTAÑITA,18410,2015,5,Accidente,Caminos,Rural,1.49494421255,-75.4630895064,Vereda Las Hermosas,"{'type': 'Point', 'coordinates': [-75.4630895064, 1.49494421255]}"
Accidente por MAP,ANTIOQUIA,5,TARAZÁ,5790,2014,4,Accidente,Campo,Rural,7.49529608765,-75.4274861811,Vereda Curumana,"{'type': 'Point', 'coordinates': [-75.4274861811, 7.49529608765]}"
Desminado militar en operaciones,CHOCO,27,ISTMINA,27361,2017,6,Incidente,Sin informacion,Rural,4.565556,-77.018889,POTEDO,"{'type': 'Point', 'coordinates': [-77.018889, 4.565556]}"
Desminado militar en operaciones,ARAUCA,81,ARAUQUITA,81065,2017,10,Incidente,Sin informacion,Rural,6.62083333333,-71.1836111111,GLAXIAS,"{'type': 'Point', 'coordinates': [-71.1836111111, 6.62083333333]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2017,10,Incidente,Sin informacion,Rural,1.29305555556,-78.605,TANDIL,"{'type': 'Point', 'coordinates': [-78.605, 1.29305555556]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2017,11,Incidente,Sin informacion,Rural,1.40055555556,-78.6177777778,CHIQUIRITO,"{'type': 'Point', 'coordinates': [-78.6177777778, 1.40055555556]}"
Desminado militar en operaciones,ANTIOQUIA,5,CAMPAMENTO,5134,2003,8,Incidente,Sin informacion,Rural,7.035278,-75.2975,Sin información,"{'type': 'Point', 'coordinates': [-75.2975, 7.035278]}"
Desminado militar en operaciones,GUAINIA,94,BARRANCOMINAS,94343,2017,11,Incidente,Sin informacion,Rural,3.4675,-69.81361111,SECTOR MINITAS,"{'type': 'Point', 'coordinates': [-69.81361111, 3.4675]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,OCAÑA,54498,2018,3,Incidente,Sin informacion,Rural,8.28222222222222,-73.365,SANTA MARIA,"{'type': 'Point', 'coordinates': [-73.365, 8.28222222222222]}"
Accidente por MUSE,NORTE DE SANTANDER,54,TEORAMA,54800,2018,5,Accidente,En cerca a edificio residencial,Rural,8.43916550851,-73.2896324181,VEREDA LOS LLANITOS,"{'type': 'Point', 'coordinates': [-73.2896324181, 8.43916550851]}"
Accidente por MAP,CORDOBA,23,TIERRALTA,23807,2018,2,Accidente,Campo,Rural,8.181547,-76.052223,vereda Bocas de Cruz grande,"{'type': 'Point', 'coordinates': [-76.052223, 8.181547]}"
Desminado militar en operaciones,GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001,2018,5,Incidente,Sin informacion,Rural,2.63638888888889,-72.0125,CHARRASQUERA,"{'type': 'Point', 'coordinates': [-72.0125, 2.63638888888889]}"
